 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 303-482-388
183.36.80.135 - - [13/Aug/2017 13:23:31] "GET /api/v1/home/ HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2017 13:32:12] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [13/Aug/2017 13:32:12] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 13:32:51] "GET /api/v1/home/ HTTP/1.0" 200 -
127.0.0.1 - - [13/Aug/2017 13:53:57] "GET /api/v1/video/av13177563 HTTP/1.0" 301 -
127.0.0.1 - - [13/Aug/2017 13:53:58] "GET /api/v1/video/av13177563/ HTTP/1.0" 200 -
127.0.0.1 - - [13/Aug/2017 14:26:37] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 14:39:18] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:52] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:34:53] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:41:29] "GET /rs-status HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:41:39] "POST /wukzgspcamqt HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:41:39] "GET /wukzgspcamqt HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:41:39] "DELETE /wukzgspcamqt HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:48:37] "GET /ganglia/index.php HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:49:24] "POST /showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:49:24] "POST /struts2-showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:49:24] "POST /integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:54:09] "GET /index.php HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:54:42] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:54:42] "GET /wp-json/wp/v2/posts HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:57:34] "GET /jobs/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 15:59:34] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:00:06] "POST / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:01:58] "GET /hwi/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:06:35] "GET /master-status HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:07:15] "GET /dfshealth.html HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:09:19] "POST /struts2-showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:09:49] "GET /clusters.jsf HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:07] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:08] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:09] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:09] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:09] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:09] "GET /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:11:09] "POST /phpmyadmin/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:15:15] "POST /qjwoamstfelc HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:15:15] "GET /qjwoamstfelc HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:15:15] "DELETE /qjwoamstfelc HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:20:08] "POST /showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:20:08] "POST /struts2-showcase/integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:20:08] "POST /integration/saveGangster.action HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:21:26] "GET /about/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:24:14] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:24:14] "GET /wp-json/wp/v2/posts HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:24:44] "GET /info HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:28:29] "POST / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:43:29] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:45:01] "GET /jenkins/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:47:48] "GET /zabbix/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:48:45] "GET /solr/ HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:55:54] "GET /warning HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 16:59:11] "GET /pleasereadthis HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 17:00:44] "GET /please_read/_search HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 17:02:59] "GET /dfshealth.jsp HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 17:03:17] "GET /hadoop/dfshealth.jsp HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 17:14:56] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 18:31:28] "GET /echo.php?info=1234567890 HTTP/1.0" 404 -
127.0.0.1 - - [13/Aug/2017 21:22:03] "GET /api/v1/video/av13177563/ HTTP/1.0" 200 -
127.0.0.1 - - [13/Aug/2017 21:22:04] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 01:04:39] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 01:22:52] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 02:29:01] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 02:38:55] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 05:29:04] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 07:21:30] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 07:36:07] "GET /cache/global/img/gs.gif HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 09:07:20] "GET /api/v1/video/av13048371/ HTTP/1.0" 200 -
127.0.0.1 - - [14/Aug/2017 09:07:20] "GET /favicon.ico HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 09:09:39] "GET / HTTP/1.0" 404 -
127.0.0.1 - - [14/Aug/2017 09:26:14] "GET / HTTP/1.0" 404 -
